Heartbeat done
Requested the message succesfully
ahrs AHRS2 {roll : 0.00017396276234649122, pitch : -2.5762281438801438e-05, yaw : -0.34571802616119385, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00017282203771173954, pitch : -2.382311868132092e-05, yaw : -0.34571895003318787, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00017599566490389407, pitch : -2.317133839824237e-05, yaw : -0.3457189202308655, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00018130202079191804, pitch : -2.0651637896662578e-05, yaw : -0.3457171320915222, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001823293132474646, pitch : -2.3688975488767028e-05, yaw : -0.3457185924053192, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00018515058036427945, pitch : -2.5327633920824155e-05, yaw : -0.34572136402130127, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00018668554548639804, pitch : -2.591650263639167e-05, yaw : -0.3457200527191162, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000185246899491176, pitch : -2.704390135477297e-05, yaw : -0.34572261571884155, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00018809991888701916, pitch : -2.6472047466086224e-05, yaw : -0.34572547674179077, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00018739994266070426, pitch : -2.3717962903901935e-05, yaw : -0.3457244634628296, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.0001869881380116567, pitch : -2.1129631932126358e-05, yaw : -0.3406256139278412, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.000187766388989985, pitch : -1.82334642886417e-05, yaw : -0.33360999822616577, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019007097580470145, pitch : -1.4574463421013206e-05, yaw : -0.3288863003253937, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.0001921601506182924, pitch : -1.2451760085241403e-05, yaw : -0.3229491710662842, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019399895973037928, pitch : -8.654580597067252e-06, yaw : -0.316313236951828, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019273397629149258, pitch : -1.0892038517340552e-05, yaw : -0.31156930327415466, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019143536337651312, pitch : -1.2700766092166305e-05, yaw : -0.3061361312866211, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019273006182629615, pitch : -1.593122760823462e-05, yaw : -0.30021050572395325, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.00019340206927154213, pitch : -1.8000753698288463e-05, yaw : -0.2960070073604584, altitude : 0.0, lat : -353632621, lng : 1491652374}
ahrs AHRS2 {roll : 0.0001934816245920956, pitch : -2.051446972473059e-05, yaw : -0.29149046540260315, altitude : 0.0, lat : -353632621, lng : 1491652374}
